group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_jameslo,CPU 2018 Usage,0,0,0,0,0,0,0.00888889,0.01277778,0.01527778,0.01527778,0.01527778,0.01527778,0.01527778,0.01527778,0.01527778,0.01527778,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478,0.21194478
pi_jfoulds,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111,0.691111
pi_jianwu,CPU 2018 Usage,0,0,0,0,567.62,696.99,3917.63,3919.19667,3932.99057,5672.95057,9861.23057,9861.231126,9973.063126,9978.783126,12540.59313,13020.40313,16260.42313,16398.72213,16437.85103,16652.17803,17199.80503,17362.93103,18140.33503,22537.49503,22565.32973,24731.35973,50835.05973,54773.43973,56147.00973,56940.08273,56940.08273,56954.88943,56954.88943,56957.01943
pi_jianwu,CPU 2013 Usage,0,124.964,364.679,364.679,504.419,779.522,12705.022,12705.022,16628.312,26549.122,26550.26839,26550.26839,26551.17811,26597.02701,26597.05368,26597.05368,26597.05368,26597.05368,26597.50757,26608.49817,26612.79123,26612.79123,26640.26703,26640.26703,26641.79397,26641.79397,26861.92297,26863.49325,26863.49325,27022.89825,27022.89825,27370.89625,27370.89625,27426.62405
pi_jkestner,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638889,0.00638889,0.00638889,0.00638889,0.00638889
pi_jkestner,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472222,0.00472222,0.00472222,0.00472222,0.00472222
pi_jleach,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00917,8.00917,8.00917,8.00917
pi_joshi,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952778,0.985278,0.985278,0.985278,0.985278,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478,58.129478
pi_joshi,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516667,0.0516667,0.0516667,0.0516667,0.0516667,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111,0.0636111
pi_jsleem1,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556
pi_lobo,CPU 2018 Usage,0,0,0,185.511,407.118,81367.518,134729.918,139627.658,147113.738,147733.339,147733.339,147733.339,148469.059,151298.739,153168.459,156903.659,157972.859,184711.759,187241.319,195043.209,205477.209,210242.599,238773.499,259510.899,265636.039,266879.439,280024.439,286750.579,303466.079,340329.279,377458.279,390105.779,433889.179,530244.579
pi_lobo,CPU 2013 Usage,0,0,0.195,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944,4.07944
pi_marten,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889,0.0313889
pi_martins,CPU 2013 Usage,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.3475,4.3475,4.3475,4.3475,4.3475,4.3475
pi_martins,CPU 2018 Usage,0,0,0,0,0,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
pi_mbaker,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111111,0.00111111,14.19111111,70.60861111,269.2826111,378.1266111,378.1266111,476.9083111,476.9083111,476.9083111,476.9083111,476.9083111,476.9288667,531.7655667,613.3833667,751.9043667,932.8413667,1758.973367,1809.821667,2290.153667
pi_mbaker,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97111,13.11,15.13667,15.14611444,15.14611444,15.14611444,15.14611444,15.14611444,15.14611444,15.14611444,15.14611444,15.17000334,15.66472534,15.66472534,16.39250334,69.25920334,124.5800033,124.5800033,124.5800033
pi_menyuk,CPU 2013 Usage,0,0,633.103,633.103,633.103,633.103,2572.783,2572.783,2572.783,2572.783,2572.783,2572.783,2572.783,2572.783,8447.883,8447.883,8447.883,8464.5699,8464.5699,8464.5699,8464.5699,8469.20157,8848.40757,8848.40757,8848.993681,9787.085681,9787.085681,10631.02968,10631.02968,10632.15551,10632.15551,10665.62301,10665.62301,10665.62301
